ID,Level,X Coordinate,Y Coordinate,Mode,Zone,Biome,Chroma,???
37,15,19,23,Origin Daydream,Pepo,31,Flow,40811
38,7,11,5,Origin Daydream,Zerinia,4,Flow,25156
39,8,1,9,Origin Daydream,Akileaf,30,Flow,42218
40,7,4,16,Origin Daydream,Jadeite,50,Flow,35555
41,14,44,32,Origin Daydream,Hyphae,72,Pulse,32754
42,13,23,12,Origin Daydream,Nightrose,67,Flow,52978
43,11,20,11,Origin Daydream,[BOSS],28,Flow,29451
44,4,14,0,Origin Daydream,Kairo,58,Flow,43620
45,11,6,2,Origin Daydream,[WEN],65,Hyper,38081
46,11,3,18,Origin Daydream,[WEN],48,Flow,32086
47,14,28,35,Origin Daydream,Holo,44,Flow,20967
48,14,35,8,Origin Daydream,Holo,80,Flow,43686
49,14,1,3,Origin Daydream,Riso,45,Pulse,18390
50,9,15,15,Origin Daydream,Aria,5,Flow,53863
51,7,7,20,Origin Daydream,First Earth,71,Hyper,36009
52,4,8,12,Origin Daydream,Kairo,58,Pulse,41257
53,13,11,13,Origin Daydream,Hypermage,69,Flow,42114
54,2,1,7,Origin Daydream,Kairo,59,Flow,47996
55,11,2,14,Origin Daydream,[BOSS],46,Hyper,47337
56,13,14,28,Origin Daydream,Nightrose,64,Flow,53388
57,9,13,4,Origin Daydream,Dhampir,91,Hyper,31601
58,14,37,15,Origin Daydream,Hyphae,6,Flow,29191
59,8,18,22,Origin Daydream,Calyx,58,Flow,9749
60,10,30,7,Origin Daydream,[CUR2],49,Flow,36338
61,12,10,13,Origin Daydream,Palace,35,Pulse,35957
62,11,26,8,Origin Daydream,[DARK],37,Pulse,39722
63,14,29,35,Origin Daydream,Holo,46,Flow,22167
64,7,3,18,Origin Daydream,Mt Zuka,65,Pulse,39265
65,15,21,14,Origin Daydream,Pepo,51,Pulse,46119
66,8,6,22,Origin Daydream,Kippsun,64,Flow,41350
67,17,13,6,Origin Daydream,Alto,57,Pulse,51242
68,3,0,2,Origin Daydream,Kairo,30,Flow,51483
69,6,9,2,Origin Daydream,Ender,2,Pulse,32619
70,13,38,9,Origin Daydream,Arc,56,Flow,46353
71,14,34,8,Origin Daydream,Holo,55,Flow,30007
72,13,42,22,Origin Daydream,Hypermage,44,Flow,47119
73,14,20,32,Origin Daydream,Riso,71,Flow,26279
74,10,21,2,Origin Daydream,[HYCA],90,Flow,41230
75,13,38,32,Origin Daydream,Killscreen,7,Flow,47137
76,13,16,38,Origin Daydream,Nightrose,62,Flow,45267
77,15,7,17,Origin Daydream,pfpfpfpbbx80,34,Flow,40119
78,6,1,23,Origin Daydream,Angel,51,Flow,31549
79,13,24,25,Origin Daydream,Nightrose,0,Pulse,24649
80,17,7,15,Origin Daydream,Alto,74,Pulse,52536
81,10,4,15,Origin Daydream,[HYCA],49,Pulse,44594
82,14,2,20,Origin Daydream,Shiro,43,Pulse,52963
83,11,4,20,Origin Daydream,[WEN],48,Flow,38390
84,13,8,11,Origin Daydream,Hypermage,57,Flow,46816
85,11,21,19,Origin Daydream,[HOME],45,Flow,49682
86,16,7,8,Origin Daydream,Greysunn,35,Pulse,36470
87,16,19,13,Origin Daydream,Ouallada,37,Flow,50958
88,14,2,5,Origin Daydream,Exduo,38,Flow,48760
89,14,33,19,Origin Daydream,Exduo,25,Flow,53977
90,7,17,9,Origin Daydream,Jadeite,28,Flow,21766
91,13,20,23,Origin Daydream,Nightrose,63,Flow,45473
92,12,5,3,Origin Daydream,Palace,28,Flow,33781
93,13,37,0,Origin Daydream,Arc,61,Flow,47361
94,6,14,15,Origin Daydream,Bubble,27,Flow,49651
95,19,1,7,Origin Daydream,Alto,9,Pulse,37194
96,12,14,0,Origin Daydream,Palace,1,Flow,23393
97,11,22,14,Origin Daydream,[SOON],71,Hyper,21156
98,13,31,35,Origin Daydream,Nightrose,43,Flow,39811
99,8,12,11,Origin Daydream,Everglades,7,Pulse,32090
100,14,43,27,Origin Daydream,Exduo,53,Flow,48522
101,11,23,25,Origin Daydream,[MENU],67,Flow,26080
102,15,14,8,Origin Daydream,Antenna,36,Flow,31581
103,7,2,0,Origin Daydream,Jadeite,58,Pulse,49246
104,16,22,0,Origin Daydream,Blossom,43,Flow,25453
105,4,13,13,Origin Daydream,Kairo,54,Flow,27913
106,12,13,13,Origin Daydream,Muxtai X1,16,Pulse,18206
107,7,8,14,Origin Daydream,Intro Forest,56,Flow,17965
108,14,14,37,Origin Daydream,Exduo,72,Pulse,35689
109,11,10,6,Origin Daydream,[DARK],21,Flow,44804
110,15,10,1,Origin Daydream,Avidana,47,Flow,50799
111,13,26,21,Origin Daydream,Mecha,54,Hyper,36564
112,14,4,29,Origin Daydream,Riso,75,Pulse,23774
113,8,19,11,Origin Daydream,Everglades,10,Pulse,29089
114,17,14,6,Origin Daydream,Alto,77,Flow,49049
115,7,0,15,Origin Daydream,Mt Zuka,50,Hyper,46480
116,14,47,41,Origin Daydream,Mirage,57,Pulse,43247
117,15,19,16,Origin Daydream,Pepo,38,Pulse,37609
118,10,30,3,Origin Daydream,[NEON],51,Pulse,38824
119,5,3,11,Origin Daydream,Tetsu,83,Pulse,48092
120,14,5,25,Origin Daydream,Mirage,33,Pulse,37703
121,13,11,10,Origin Daydream,Hypermage,45,Pulse,20733
122,7,22,4,Origin Daydream,First Earth,43,Flow,19005
123,16,4,7,Origin Daydream,Greysunn,52,Pulse,53201
124,9,0,0,Origin Daydream,Wastelands,9,Flow,52909
125,6,17,1,Origin Daydream,Rocket,48,Flow,43225
126,14,18,0,Origin Daydream,Holo,39,Pulse,43129
127,10,3,2,Origin Daydream,[CUR2],90,Pulse,23776
128,14,39,39,Origin Daydream,Holo,46,Pulse,30409
129,10,4,0,Origin Daydream,[CUR2],67,Pulse,51614
130,16,13,9,Origin Daydream,Treasure,22,Flow,43438
131,10,8,25,Origin Daydream,[SEP],6,Flow,21186
132,10,31,29,Terrain,[YUNA],26,Pulse,8930
133,14,23,26,Terrain,Radiant,47,Pulse,39232
134,10,25,24,Terrain,[SEP],56,Pulse,23236
135,17,0,6,Terrain,Alto,60,Flow,46533
136,13,31,18,Terrain,Nightrose,47,Flow,31427
137,8,12,17,Terrain,Akileaf,60,Flow,44918
138,13,10,35,Terrain,Mecha,52,Hyper,51420
139,10,3,13,Terrain,[YUNA],70,Flow,23939
140,7,7,1,Terrain,Mt Zuka,64,Flow,26907
141,14,35,44,Terrain,Shiro,6,Pulse,49239
142,13,36,40,Origin Daydream,Aetherking,54,Pulse,28232
143,13,32,3,Terrain,Nightrose,59,Hyper,28400
144,18,1,1,Terrain,Alto,84,Pulse,34754
145,14,9,12,Terrain,Mirage,45,Flow,34038
146,11,10,9,Terrain,[MENU],69,Flow,30177
147,14,11,24,Terrain,Hyphae,49,Hyper,31274
148,5,2,8,Terrain,Xleph,83,Flow,39115
149,15,19,13,Terrain,pfpfpfpbbx80,23,Flow,36676
150,14,36,42,Terrain,Holo,47,Pulse,48594
151,13,26,19,Daydream,Mecha,41,Flow,43608
152,14,41,19,Terrain,Shiro,45,Flow,33369
153,16,8,5,Terrain,Ouallada,67,Flow,48359
154,10,3,6,Terrain,[SEP],82,Hyper,39957
155,14,30,31,Terrain,Mirage,62,Pulse,41563
156,14,37,7,Terrain,Warp,48,Flow,53522
157,14,13,34,Terrain,Exduo,51,Pulse,49325
158,13,31,1,Terrain,Hypermage,41,Flow,53573
159,16,20,1,Terrain,Ouallada,53,Flow,42847
160,14,22,22,Terrain,Holo,67,Pulse,33691
161,14,7,3,Terrain,Riso,30,Pulse,38050
162,14,5,38,Terrain,Holo,46,Flow,20266
163,14,5,29,Terrain,Riso,32,Flow,24255
164,8,19,3,Terrain,Everglades,9,Pulse,29153
165,13,3,1,Terrain,Hypermage,48,Pulse,27573
166,15,13,10,Terrain,Avidana,22,Flow,51490
167,10,5,21,Terrain,[NOV],41,Flow,38949
168,15,3,0,Terrain,Venmon,54,Pulse,28092
169,10,28,17,Terrain,[MOON],36,Hyper,43267
170,14,39,38,Terrain,Holo,32,Flow,47603
171,3,2,5,Terrain,Kairo,55,Pulse,40001
172,7,22,16,Terrain,Jadeite,5,Flow,27913
173,10,20,11,Terraform,[CUR2],9,Pulse,30906
174,17,8,1,Terrain,Alto,59,Flow,31060
175,16,22,23,Terrain,Greysunn,43,Pulse,46392
176,12,6,15,Terrain,Muxtai X1,5,Hyper,36721
177,11,23,10,Terrain,[BLOOD],68,Hyper,44517
178,13,42,45,Terrain,Dynacrypts,45,Flow,40640
179,14,8,19,Terrain,Holo,9,Flow,34397
180,13,5,43,Terrain,Grove,60,Flow,17851
181,13,7,34,Terrain,Mecha,34,Flow,39364
182,10,14,4,Terrain,[SEP],51,Pulse,49498
183,14,42,15,Terrain,Holo,75,Flow,50917
184,13,2,17,Terrain,Nightrose,55,Flow,20822
185,9,8,4,Terrain,Wastelands,50,Flow,37796
186,8,8,2,Terrain,Everglades,64,Pulse,36516
187,7,23,17,Terrain,Intro Forest,30,Pulse,34516
188,8,17,5,Terrain,Calyx,26,Hyper,17980
189,14,1,38,Terrain,Shiro,43,Flow,26077
190,3,4,6,Terrain,Kairo,57,Pulse,47242
191,6,14,14,Terrain,Angel,3,Pulse,53164
192,10,3,25,Terrain,[MOON],49,Flow,37390
193,13,33,13,Terrain,Arc,7,Flow,45151
194,13,44,6,Terrain,Dynacrypts,65,Hyper,53798
195,14,11,0,Terrain,Hyphae,58,Pulse,45124
196,14,35,30,Terrain,Riso,53,Pulse,50694
197,15,16,19,Terrain,Blushing,55,Pulse,29969
198,6,23,12,Terrain,Angel,25,Flow,42396
199,11,26,10,Terrain,[DARK],70,Flow,29651
200,7,17,17,Terrain,Zerinia,58,Flow,32361
201,14,33,25,Terrain,Exduo,80,Flow,42133
202,4,4,8,Terrain,Kairo,57,Flow,48959
203,11,3,10,Terrain,[WEN],9,Flow,23063
204,14,40,26,Terrain,Exduo,24,Flow,40335
205,16,18,21,Terrain,Mould,68,Flow,52560
206,13,16,21,Terrain,Grove,56,Pulse,35810
207,15,16,12,Terrain,Linosim,48,Flow,53175
208,14,17,43,Terrain,Riso,32,Flow,41962
209,17,1,3,Terrain,Alto,51,Pulse,52267
210,13,33,25,Terrain,Arc,58,Flow,53552
211,13,17,15,Terrain,Hypermage,44,Flow,53277
212,12,12,3,Terrain,Muxtai X1,46,Pulse,53878
213,7,12,11,Terrain,Intro Forest,19,Flow,20252
214,9,0,10,Terrain,Aria,85,Flow,39121
215,14,3,1,Terrain,Hyphae,47,Flow,51465
216,13,31,26,Terrain,Hypermage,46,Hyper,39476
217,13,33,0,Terrain,Hypermage,48,Flow,44106
218,14,22,38,Terrain,Hyphae,54,Pulse,30626
219,14,24,3,Terrain,Holo,44,Pulse,35455
220,13,6,7,Terrain,Grove,28,Flow,38361
221,8,1,8,Terrain,Akileaf,29,Hyper,48813
222,14,23,42,Terrain,Exduo,70,Pulse,46825
223,10,5,31,Terrain,[NOV],66,Flow,39748
224,7,2,23,Terrain,Zerinia,57,Pulse,44434
225,14,4,43,Terrain,Holo,71,Flow,42372
226,14,30,1,Terrain,Mirage,72,Flow,43241
227,4,3,3,Terrain,Kairo,3,Flow,41157
228,11,7,16,Terrain,[BLOOD],59,Flow,45789
229,14,19,43,Terrain,Exduo,48,Pulse,53206
230,10,12,14,Terrain,[NEON],53,Hyper,48521
231,6,21,5,Terrain,Mori,33,Flow,45347
232,8,5,10,Terrain,Akileaf,11,Pulse,50703
233,14,14,43,Terrain,Mirage,31,Flow,48453
234,13,21,37,Terrain,Hypermage,46,Flow,47648
235,10,9,26,Terrain,[YUNA],10,Flow,50515
236,10,6,13,Terrain,[SEP],69,Flow,46880
237,13,46,2,Terrain,Hypermage,54,Flow,52682
238,8,9,0,Terrain,Calyx,60,Flow,30085
239,11,10,13,Terrain,[BLOOD],12,Flow,52467
240,13,45,3,Terrain,Arc,25,Flow,52067
241,10,13,24,Terrain,[NEON],57,Flow,39789
242,14,4,35,Terrain,Mirage,53,Flow,27921
243,10,4,26,Terrain,[SUN],62,Hyper,51054
244,15,16,8,Terrain,pfpfpfpbbx80,48,Pulse,36455
245,14,15,23,Terrain,Radiant,56,Flow,45097
246,13,37,12,Terrain,Dynacrypts,72,Flow,21336
247,11,25,15,Terrain,[MENU],86,Pulse,37651
248,11,31,16,Terrain,[BLOOD],22,Flow,42290
249,10,6,12,Terrain,[SEP],17,Flow,43301
250,7,21,2,Terrain,Zerinia,45,Flow,40211
251,11,19,26,Terrain,[WEN],50,Hyper,52507
252,14,26,47,Terrain,Exduo,32,Flow,37361
253,15,13,22,Terrain,Blushing,38,Flow,39636
254,6,15,10,Terrain,Ender,37,Flow,45754
255,14,25,23,Terrain,Holo,54,Flow,52045
256,5,15,14,Terrain,Royal,58,Hyper,50365
257,15,1,6,Terrain,Venmon,32,Flow,52270
258,13,42,47,Terrain,Dynacrypts,55,Flow,48081
259,5,14,8,Terrain,Xleph,89,Pulse,28957
260,14,0,2,Terrain,Riso,49,Pulse,27017
261,14,46,47,Terrain,Exduo,44,Pulse,43150
262,17,8,3,Terrain,Alto,9,Flow,43512
263,8,22,2,Terrain,Akileaf,17,Pulse,35702
264,11,21,24,Terrain,[BOSS],18,Flow,40428
265,13,3,47,Terrain,Hypermage,36,Flow,19132
266,6,22,4,Terrain,Angel,8,Flow,35450
267,14,1,11,Terrain,Holo,46,Flow,42381
268,14,31,45,Terrain,Hyphae,60,Hyper,40979
269,15,19,20,Terrain,Pepo,41,Hyper,23283
270,14,15,44,Terrain,Hyphae,48,Pulse,48030
271,13,4,21,Terrain,Grove,55,Flow,45185
272,6,6,6,Terrain,Ender,34,Flow,49416
273,11,14,21,Terrain,[WEN],65,Pulse,39948
274,6,2,3,Terrain,Angel,63,Flow,45195
275,10,9,30,Terrain,[SEP],10,Pulse,53931
276,14,43,19,Terrain,Holo,31,Pulse,30050
277,14,23,4,Terrain,Holo,29,Flow,30249
278,10,22,14,Terrain,[NEON],65,Flow,32032
279,13,25,43,Terrain,Arc,55,Flow,45163
280,13,32,12,Terrain,Arc,56,Flow,47819
281,4,3,0,Terrain,Kairo,57,Flow,52420
282,4,1,11,Terrain,Kairo,55,Pulse,30422
283,2,0,6,Terrain,Kairo,86,Pulse,37969
284,14,43,0,Terrain,Hyphae,55,Pulse,44083
285,10,28,2,Terrain,[NEON],51,Flow,48225
286,8,19,16,Terrain,Everglades,64,Flow,52512
287,11,5,4,Terrain,[DARK],57,Flow,42683
288,13,12,4,Terrain,Arc,64,Pulse,53171
289,14,28,38,Terrain,Holo,50,Flow,11494
290,14,43,28,Terrain,Exduo,41,Flow,50973
291,11,1,23,Terrain,[MENU],72,Pulse,46777
292,8,13,12,Terrain,Calyx,60,Flow,39897
293,13,5,37,Terrain,Mecha,50,Flow,45588
294,16,3,7,Terrain,Greysunn,9,Flow,51605
295,4,11,12,Terrain,Kairo,0,Flow,51888
296,14,3,30,Terrain,Riso,45,Flow,36433
297,6,2,15,Terrain,Bubble,53,Pulse,44252
298,13,14,37,Daydream,Mecha,0,Flow,45013
299,14,42,13,Terrain,Holo,8,Pulse,51943
300,14,19,32,Terrain,Riso,28,Pulse,15906
301,11,23,13,Terrain,[WEN],87,Flow,48516
302,10,12,0,Terrain,[YUNA],14,Flow,42054
303,11,31,31,Terrain,[BLOOD],69,Pulse,49758
304,8,5,6,Terrain,Kippsun,59,Pulse,49707
305,13,45,29,Terrain,Hypermage,50,Pulse,29301
306,11,9,18,Terrain,[MENU],68,Flow,35036
307,10,4,4,Terrain,[YUNA],88,Flow,38794
308,7,18,10,Terrain,Jadeite,56,Pulse,35762
309,9,0,12,Terrain,Aria,87,Flow,47300
310,6,15,3,Terrain,Rocket,72,Flow,46245
311,16,7,0,Terrain,Dread,68,Hyper,39002
312,14,29,32,Terrain,Shiro,33,Hyper,26882
313,10,17,26,Terrain,[NEON],43,Flow,25440
314,14,8,31,Terrain,Hyphae,42,Flow,44252
315,14,28,45,Terrain,Riso,35,Pulse,45615
316,14,41,31,Terrain,Hyphae,30,Hyper,41178
317,13,14,26,Terrain,Nightrose,75,Hyper,45792
318,14,20,38,Terrain,Riso,45,Pulse,14593
319,11,31,24,Terrain,[HOME],87,Flow,42400
320,4,1,3,Terrain,Kairo,53,Flow,23819
321,5,4,0,Terrain,Xleph,90,Pulse,16705
322,13,14,10,Terrain,Hypermage,47,Flow,31085
323,19,5,3,Terrain,Alto,39,Flow,20133
324,4,7,6,Terrain,Kairo,50,Flow,35174
325,14,13,19,Terrain,Mirage,34,Flow,41961
326,14,18,30,Terrain,Exduo,58,Pulse,42840
327,10,0,3,Terrain,[MOON],5,Hyper,33372
328,6,16,11,Terrain,Ender,27,Flow,37808
329,8,18,14,Terrain,Kippsun,63,Pulse,28262
330,14,11,29,Terrain,Exduo,66,Flow,49969
331,10,21,8,Terrain,[NEON],52,Flow,41467
332,13,7,6,Terrain,Nightrose,53,Pulse,33552
333,19,0,6,Terrain,Alto,87,Flow,51718
334,11,17,27,Terrain,[SOON],10,Flow,36406
335,10,8,18,Terrain,[HYCA],68,Flow,29584
336,15,14,9,Terrain,Avidana,52,Flow,38832
337,14,9,24,Terrain,Shiro,44,Pulse,19457
338,14,29,11,Terrain,Holo,49,Flow,52783
339,14,6,45,Terrain,Shiro,43,Flow,51266
340,6,1,15,Terrain,Angel,28,Pulse,51449
341,7,17,1,Terrain,Jadeite,50,Flow,46181
342,14,19,24,Terrain,Holo,69,Flow,33897
343,9,0,2,Terrain,Dhampir,4,Pulse,39347
344,14,27,1,Terrain,Holo,52,Pulse,46595
345,16,17,15,Terrain,Greysunn,56,Flow,45817
346,13,30,26,Terrain,Hypermage,50,Flow,33584
347,4,1,7,Terrain,Kairo,52,Pulse,34901
348,4,8,1,Terrain,Kairo,58,Flow,29402
349,10,30,0,Terrain,[HYCA],1,Flow,18402
350,9,13,5,Terrain,Dhampir,86,Flow,35956
351,5,5,12,Terrain,Royal,86,Hyper,32001
352,11,18,8,Terrain,[HOME],13,Flow,37485
353,16,9,1,Terrain,Greysunn,61,Flow,48874
354,15,14,22,Terrain,Linosim,41,Hyper,49433
355,14,8,36,Terrain,Shiro,44,Flow,20360
356,13,38,19,Terrain,Arc,48,Pulse,44036
357,14,10,6,Terrain,Riso,35,Flow,52448
358,14,21,31,Terrain,Hyphae,49,Flow,53321
359,13,42,13,Terrain,Nightrose,37,Flow,31763
360,14,26,37,Terrain,Holo,35,Flow,27656
361,10,15,15,Terrain,[MOON],29,Flow,44717
362,17,4,0,Terrain,Alto,24,Flow,47168
363,12,1,14,Terrain,Muxtai X1,3,Flow,29143
364,5,4,5,Terrain,Xleph,86,Flow,45949
365,10,11,9,Terrain,[SEP],59,Pulse,48209
366,8,5,19,Terrain,Calyx,15,Pulse,27233
367,6,19,12,Terrain,Ender,27,Flow,35838
368,7,7,22,Terrain,Jadeite,30,Flow,23357
369,7,1,18,Terrain,Jadeite,44,Flow,36574
370,13,19,28,Terrain,Dynacrypts,57,Flow,29212
371,7,17,23,Terrain,Intro Forest,46,Pulse,44312
372,10,28,26,Terrain,[SEP],65,Flow,49815
373,6,13,13,Terrain,Angel,32,Pulse,43152
374,10,23,19,Terrain,[SEP],48,Flow,30930
375,13,40,15,Terrain,Hypermage,51,Pulse,39311
376,19,1,2,Terrain,Alto,91,Flow,28432
377,10,21,13,Terrain,[NEON],6,Flow,44515
378,6,13,11,Terrain,Angel,24,Hyper,32051
379,8,3,10,Terrain,Cradle,25,Pulse,49177
380,16,9,13,Terrain,Mould,58,Pulse,47356
381,8,22,21,Terrain,Promiselands,65,Pulse,34988
382,13,1,35,Terrain,Nightrose,67,Flow,18590
383,8,7,14,Terrain,Cradle,50,Pulse,35505
384,13,3,14,Terrain,Hypermage,1,Pulse,16588
385,10,24,30,Terrain,[HYCA],33,Pulse,47462
386,8,4,13,Terrain,Everglades,8,Flow,48446
387,9,1,13,Terrain,Wastelands,87,Flow,40300
388,7,14,5,Terrain,First Earth,53,Flow,34284
389,14,8,4,Terrain,Exduo,9,Pulse,52236
390,10,5,14,Terrain,[YUNA],33,Pulse,38808
391,5,13,7,Terrain,Xleph,84,Flow,11840
392,9,3,13,Terrain,Aria,86,Flow,42459
393,14,13,3,Terrain,Hyphae,38,Flow,41005
394,14,30,46,Terrain,Riso,2,Pulse,52462
395,13,39,13,Terrain,Arc,32,Flow,53759
396,14,17,6,Terrain,Holo,39,Flow,36765
397,11,10,18,Terrain,[MENU],34,Pulse,49938
398,13,28,23,Terrain,Mecha,42,Flow,22609
399,13,47,38,Terrain,Arc,56,Pulse,25991
400,14,8,23,Terrain,Holo,43,Hyper,37211
401,10,10,16,Terrain,[CUR2],18,Flow,48676
402,8,20,9,Terrain,Everglades,65,Flow,30445
403,15,8,9,Terrain,pfpfpfpbbx80,32,Flow,25844
404,13,40,20,Terrain,Hypermage,35,Pulse,16502
405,13,47,4,Terrain,Arc,55,Pulse,43267
406,13,1,19,Terrain,Grove,50,Pulse,37027
407,12,7,13,Terrain,Muxtai X1,38,Flow,33603
408,14,7,25,Terrain,Shiro,50,Pulse,42414
409,13,28,31,Terrain,Hypermage,57,Flow,51293
410,14,3,37,Terrain,Shiro,70,Flow,42256
411,7,10,10,Terrain,Intro Forest,42,Flow,38143
412,16,20,20,Terrain,Ouallada,55,Flow,49494
413,10,19,14,Terrain,[CUR2],0,Flow,39209
414,13,37,46,Terrain,Valeria,46,Flow,42505
415,8,8,16,Terrain,Akileaf,31,Flow,29211
416,13,22,20,Terrain,Mecha,72,Pulse,48982
417,20,2,3,Terrain,Alto,27,Flow,49479
418,14,10,41,Terrain,Holo,70,Flow,40335
419,13,12,28,Terrain,Grove,36,Hyper,47697
420,14,47,20,Terrain,Mirage,37,Pulse,38888
421,14,18,29,Terrain,Exduo,34,Flow,44729
422,6,16,3,Terrain,Rocket,1,Flow,43393
423,13,15,40,Terrain,Nightrose,2,Pulse,33493
424,13,31,24,Terrain,Nightrose,65,Flow,40479
425,14,19,28,Terrain,Radiant,67,Flow,32295
426,13,43,44,Terrain,Arc,53,Pulse,40357
427,13,38,38,Terrain,Valeria,67,Hyper,45894
428,6,7,5,Terrain,Toad,5,Flow,49328
429,11,3,21,Terrain,[DARK],50,Pulse,33752
430,5,7,12,Terrain,Xleph,85,Pulse,53947
431,11,0,8,Terrain,[BLOOD],84,Flow,40422
432,11,22,25,Terrain,[BOSS],84,Pulse,50901
433,7,4,18,Terrain,Jadeite,47,Flow,50496
434,11,14,0,Terrain,[HOME],51,Flow,19341
435,10,7,2,Terrain,[YUNA],9,Hyper,38519
436,8,6,23,Terrain,Kippsun,1,Flow,42993
437,15,16,14,Terrain,pfpfpfpbbx80,6,Flow,44531
438,14,11,28,Terrain,Exduo,68,Pulse,48409
439,10,11,8,Terrain,[NOV],49,Pulse,53767
440,13,43,36,Terrain,Valeria,5,Flow,51005
441,13,14,18,Terrain,Nightrose,53,Pulse,41330
442,8,10,4,Terrain,Everglades,60,Flow,41207
443,14,39,13,Terrain,Mirage,47,Flow,50493
444,4,9,14,Terrain,Kairo,51,Pulse,32909
445,10,9,10,Terrain,[SUN],59,Flow,37716
446,13,29,14,Terrain,Hypermage,65,Flow,36172
447,11,17,3,Terrain,[HOME],35,Flow,44063
448,16,23,8,Terrain,Treasure,57,Flow,45807
449,16,23,20,Terrain,Ouallada,31,Flow,23138
450,13,26,6,Terraform,Mecha,62,Flow,44818
451,10,17,8,Terrain,[HYCA],14,Pulse,24803
452,14,38,47,Terrain,Hyphae,42,Flow,52643
453,13,29,31,Terrain,Hypermage,47,Flow,49228
454,14,26,23,Terrain,Holo,39,Flow,53605
455,13,29,43,Terrain,Hypermage,46,Pulse,35023
456,14,31,12,Terrain,Holo,57,Flow,40906
457,11,17,19,Terrain,[MENU],65,Pulse,46866
458,7,2,20,Terrain,Intro Forest,46,Flow,41831
459,14,45,43,Terrain,Riso,56,Flow,47743
460,15,18,3,Terrain,pfpfpfpbbx80,66,Flow,47675
461,10,6,29,Terrain,[SEP],29,Flow,52907
462,14,8,43,Terrain,Holo,43,Flow,49626
463,15,0,16,Terrain,Linosim,70,Flow,36498
464,14,36,27,Terrain,Exduo,44,Flow,23269
465,13,8,18,Terrain,Nightrose,57,Pulse,39819
466,7,3,16,Terrain,Jadeite,50,Flow,43663
467,13,24,30,Terrain,Dynacrypts,70,Pulse,24763
468,16,8,15,Terrain,Uwo,25,Pulse,44150
469,10,19,30,Terrain,[CUR2],22,Flow,45888
470,13,10,33,Terrain,Mecha,68,Hyper,44870
471,14,44,8,Terrain,Holo,43,Flow,31643
472,13,7,13,Terrain,Hypermage,50,Pulse,52571
473,13,37,44,Terrain,Killscreen,58,Hyper,45186
474,6,3,12,Terrain,Bubble,38,Flow,51397
475,17,2,10,Terrain,Alto,43,Pulse,49801
476,9,15,6,Terrain,Wastelands,3,Pulse,45459
477,10,11,30,Origin Daydream,[SEP],25,Flow,40229
478,13,41,25,Terrain,Dynacrypts,80,Pulse,53594
479,10,2,10,Terrain,[NOV],41,Hyper,37453
480,19,1,6,Terrain,Alto,4,Pulse,50965
481,13,33,19,Terrain,Hypermage,44,Pulse,51408
482,14,37,35,Terrain,Mirage,34,Flow,37328
483,8,6,11,Terrain,Akileaf,6,Flow,22619
484,15,18,19,Terrain,Linosim,53,Flow,23040
485,13,27,18,Terrain,Mecha,9,Pulse,33642
486,5,7,3,Terrain,Royal,84,Flow,53938
487,12,2,14,Terrain,Muxtai X1,32,Flow,45959
488,17,12,15,Terrain,Alto,18,Hyper,41994
